date,timestamp,energy_consumption_kwh,voltage,current,power_factor,tariff_rate,temperature,occupancy,device_name
2021-01-02,2021-01-02 01:00:00,20.875,231.53,49.326,0.91,0.105,23.747,3.0,HVAC
2021-01-02,2021-01-02 02:00:00,22.724,221.48,46.782,0.84,0.1106,25.074,2.0,Lighting
2021-01-02,2021-01-02 03:00:00,23.557,221.325,60.332,0.862,0.1097,24.823,0.0,Lighting
2021-01-02,2021-01-02 04:00:00,26.303,232.492,50.677,0.905,0.1048,24.894,0.0,HVAC
2021-01-02,2021-01-02 05:00:00,25.456,233.285,59.733,0.875,0.1039,24.921,0.0,HVAC
2021-01-02,2021-01-02 06:00:00,26.741,234.119,53.516,0.848,0.1101,27.488,19.0,Lighting
2021-01-02,2021-01-02 07:00:00,25.558,224.882,56.696,0.856,0.1097,23.666,22.0,HVAC
2021-01-02,2021-01-02 08:00:00,26.033,228.905,54.106,0.882,0.0983,23.507,32.0,Refrigeration
2021-01-02,2021-01-02 09:00:00,27.741,229.5,52.423,0.822,0.1156,23.055,40.0,HVAC
2021-01-02,2021-01-02 10:00:00,24.409,220.318,53.301,0.909,0.1078,25.199,44.0,Refrigeration
2021-01-02,2021-01-02 11:00:00,21.69,228.708,48.305,0.871,0.1158,25.969,57.0,Lighting
2021-01-02,2021-01-02 12:00:00,23.522,228.624,42.837,0.885,0.103,24.104,47.0,Pumps
2021-01-02,2021-01-02 13:00:00,21.591,231.354,45.399,0.861,0.1169,23.015,51.0,HVAC
2021-01-02,2021-01-02 14:00:00,20.089,225.428,47.566,0.866,0.1046,23.038,50.0,Pumps
2021-01-02,2021-01-02 15:00:00,18.29,233.627,42.396,0.877,0.1123,25.251,46.0,Production Line
2021-01-02,2021-01-02 16:00:00,17.36,228.362,38.063,0.882,0.1135,25.39,33.0,Compressor
2021-01-02,2021-01-02 17:00:00,13.956,235.694,49.121,0.919,0.1448,25.09,20.0,Lighting
2021-01-02,2021-01-02 18:00:00,14.79,231.36,40.027,0.885,0.1579,23.277,14.0,HVAC
2021-01-02,2021-01-02 19:00:00,14.923,229.25,37.551,0.883,0.1512,24.623,1.0,Lighting
2021-01-02,2021-01-02 20:00:00,17.138,222.681,47.946,0.864,0.1495,24.45,0.0,Production Line
2021-01-02,2021-01-02 21:00:00,14.585,222.06,36.8,0.894,0.1578,24.603,2.0,Server Rack
2021-01-02,2021-01-02 22:00:00,15.912,235.204,41.017,0.859,0.1536,25.582,3.0,Lighting
2021-01-02,2021-01-02 23:00:00,19.312,231.95,49.199,0.884,0.1012,24.611,0.0,HVAC
2021-01-03,2021-01-03 00:00:00,20.688,226.717,44.964,0.873,0.1101,25.431,0.0,Compressor
2021-01-03,2021-01-03 01:00:00,23.661,226.124,52.409,0.836,0.1121,24.514,0.0,Refrigeration
2021-01-03,2021-01-03 02:00:00,23.258,228.998,54.747,0.891,0.1056,24.846,0.0,Production Line
2021-01-03,2021-01-03 03:00:00,23.993,221.947,60.276,0.846,0.1114,25.36,0.0,Lighting
2021-01-03,2021-01-03 04:00:00,26.561,225.895,58.329,0.944,0.1148,22.227,0.0,Elevator
2021-01-03,2021-01-03 05:00:00,25.821,230.756,54.262,0.883,0.1016,23.933,5.0,Refrigeration
2021-01-03,2021-01-03 06:00:00,26.22,231.358,53.643,0.885,0.111,23.707,8.0,Compressor
2021-01-03,2021-01-03 07:00:00,26.43,226.344,52.348,0.82,0.1145,23.454,22.0,Lighting
2021-01-03,2021-01-03 08:00:00,28.497,235.201,51.356,0.929,0.117,24.0,32.0,Production Line
2021-01-03,2021-01-03 09:00:00,27.017,232.702,54.918,0.838,0.1046,26.655,38.0,Lighting
2021-01-03,2021-01-03 10:00:00,24.506,224.541,46.313,0.805,0.1138,23.114,49.0,Pumps
2021-01-03,2021-01-03 11:00:00,25.555,222.259,50.586,0.875,0.1088,25.865,52.0,Refrigeration
2021-01-03,2021-01-03 12:00:00,22.724,230.676,41.827,0.81,0.1116,21.888,50.0,Compressor
2021-01-03,2021-01-03 13:00:00,19.834,225.975,46.752,0.874,0.1034,23.91,57.0,Production Line
2021-01-03,2021-01-03 14:00:00,19.209,225.12,42.248,0.861,0.1094,24.657,46.0,Lighting
2021-01-03,2021-01-03 15:00:00,18.753,229.003,44.368,0.816,0.103,25.292,36.0,Elevator
2021-01-03,2021-01-03 16:00:00,15.367,231.237,32.428,0.859,0.1112,25.48,40.0,Compressor
2021-01-03,2021-01-03 17:00:00,15.878,231.564,43.302,0.876,0.1588,25.603,26.0,Server Rack
2021-01-03,2021-01-03 18:00:00,13.465,228.248,40.034,0.907,0.1611,23.89,10.0,HVAC
2021-01-03,2021-01-03 19:00:00,16.488,217.677,38.774,0.845,0.1446,23.719,6.0,HVAC
2021-01-03,2021-01-03 20:00:00,14.93,232.295,42.746,0.903,0.1496,25.7,0.0,Lighting
2021-01-03,2021-01-03 21:00:00,16.894,224.373,43.768,0.898,0.1537,24.126,0.0,HVAC
2021-01-03,2021-01-03 22:00:00,17.882,229.388,39.592,0.858,0.1436,22.499,0.0,Elevator
2021-01-03,2021-01-03 23:00:00,20.776,227.45,46.432,0.849,0.104,22.713,1.0,Pumps
2021-01-04,2021-01-04 00:00:00,20.89,238.098,50.343,0.838,0.1006,23.171,0.0,Refrigeration
2021-01-04,2021-01-04 01:00:00,22.821,237.261,44.973,0.875,0.1107,25.296,1.0,HVAC
2021-01-04,2021-01-04 02:00:00,25.346,225.932,52.653,0.853,0.1074,24.764,2.0,Refrigeration
2021-01-04,2021-01-04 03:00:00,28.156,221.949,57.51,0.864,0.1055,25.586,3.0,Production Line
2021-01-04,2021-01-04 04:00:00,27.567,222.301,55.475,0.883,0.1084,23.909,0.0,Production Line
2021-01-04,2021-01-04 05:00:00,27.715,229.222,54.223,0.897,0.1051,24.788,0.0,Production Line
2021-01-04,2021-01-04 06:00:00,28.139,225.571,51.618,0.874,0.1114,25.488,20.0,Lighting
2021-01-04,2021-01-04 07:00:00,26.283,223.0,52.208,0.844,0.1088,24.086,39.0,HVAC
2021-01-04,2021-01-04 08:00:00,27.199,225.643,53.632,0.843,0.1168,25.235,60.0,HVAC
2021-01-04,2021-01-04 09:00:00,27.615,230.03,56.142,0.833,0.1107,23.557,79.0,Elevator
2021-01-04,2021-01-04 10:00:00,28.578,227.648,53.897,0.908,0.1035,24.005,84.0,Refrigeration
2021-01-04,2021-01-04 11:00:00,23.854,225.829,48.79,0.867,0.1005,23.977,90.0,Refrigeration
2021-01-04,2021-01-04 12:00:00,24.049,226.394,45.354,0.9,0.1146,22.756,103.0,Production Line
2021-01-04,2021-01-04 13:00:00,20.191,227.271,43.974,0.914,0.1185,25.281,99.0,Pumps
2021-01-04,2021-01-04 14:00:00,20.665,229.002,47.696,0.832,0.1209,23.846,89.0,Lighting
2021-01-04,2021-01-04 15:00:00,17.818,229.266,37.456,0.926,0.116,24.569,77.0,Production Line
2021-01-04,2021-01-04 16:00:00,17.581,220.582,41.123,0.897,0.1065,25.271,50.0,HVAC
2021-01-04,2021-01-04 17:00:00,14.216,228.75,38.527,0.894,0.1456,25.22,39.0,Pumps
2021-01-04,2021-01-04 18:00:00,14.515,226.371,42.036,0.894,0.1579,25.548,14.0,Production Line
2021-01-04,2021-01-04 19:00:00,16.376,223.438,39.48,0.899,0.1494,24.402,0.0,Compressor
2021-01-04,2021-01-04 20:00:00,15.685,226.323,36.916,0.873,0.1511,23.915,2.0,Lighting
2021-01-04,2021-01-04 21:00:00,16.929,233.203,47.263,0.838,0.1501,24.43,0.0,Refrigeration
2021-01-04,2021-01-04 22:00:00,18.334,231.639,44.554,0.873,0.1493,22.019,4.0,HVAC
2021-01-04,2021-01-04 23:00:00,19.761,228.437,46.299,0.823,0.1086,22.379,0.0,Lighting
2021-01-05,2021-01-05 00:00:00,20.497,223.963,43.378,0.841,0.1109,22.703,0.0,HVAC
2021-01-05,2021-01-05 01:00:00,24.438,221.882,48.87,0.838,0.1136,23.191,2.0,Compressor
2021-01-05,2021-01-05 02:00:00,27.056,223.762,49.493,0.853,0.1148,25.287,4.0,Compressor
2021-01-05,2021-01-05 03:00:00,24.721,228.055,53.208,0.857,0.1159,23.329,0.0,HVAC
2021-01-05,2021-01-05 04:00:00,26.996,228.15,48.754,0.812,0.1082,24.12,9.0,Lighting
2021-01-05,2021-01-05 05:00:00,28.253,225.069,55.972,0.847,0.1081,26.636,0.0,Compressor
2021-01-05,2021-01-05 06:00:00,28.595,231.95,58.496,0.871,0.108,24.153,14.0,HVAC
2021-01-05,2021-01-05 07:00:00,28.914,229.73,53.805,0.824,0.1202,25.794,40.0,Server Rack
2021-01-05,2021-01-05 08:00:00,28.37,216.069,55.635,0.852,0.1094,23.287,56.0,Production Line
2021-01-05,2021-01-05 09:00:00,27.894,228.491,50.172,0.88,0.1068,24.379,78.0,Refrigeration
2021-01-05,2021-01-05 10:00:00,26.76,231.4,57.223,0.812,0.1073,23.262,83.0,Refrigeration
2021-01-05,2021-01-05 11:00:00,26.999,228.911,46.642,0.853,0.112,24.179,95.0,Lighting
2021-01-05,2021-01-05 12:00:00,23.61,230.617,47.234,0.872,0.1018,25.948,95.0,HVAC
2021-01-05,2021-01-05 13:00:00,21.143,226.814,43.197,0.901,0.1045,22.096,89.0,HVAC
2021-01-05,2021-01-05 14:00:00,20.059,227.706,40.852,0.917,0.1128,25.339,88.0,Compressor
2021-01-05,2021-01-05 15:00:00,20.554,227.8,47.268,0.886,0.1116,25.044,71.0,HVAC
2021-01-05,2021-01-05 16:00:00,16.766,228.828,45.651,0.922,0.1085,23.796,55.0,Lighting
2021-01-05,2021-01-05 17:00:00,17.936,225.394,38.558,0.932,0.1521,22.518,35.0,Production Line
2021-01-05,2021-01-05 18:00:00,16.204,232.916,50.844,0.884,0.1531,24.795,22.0,Elevator
2021-01-05,2021-01-05 19:00:00,15.382,234.403,43.721,0.85,0.1513,23.893,0.0,Refrigeration
2021-01-05,2021-01-05 20:00:00,15.835,225.61,44.249,0.863,0.1466,25.036,0.0,Lighting
2021-01-05,2021-01-05 21:00:00,17.203,222.741,42.298,0.87,0.1457,24.72,7.0,Pumps
2021-01-05,2021-01-05 22:00:00,19.368,221.946,47.746,0.888,0.1482,27.09,0.0,Production Line
2021-01-05,2021-01-05 23:00:00,19.251,229.822,46.266,0.82,0.1089,24.328,0.0,HVAC
2021-01-06,2021-01-06 00:00:00,20.009,230.645,44.782,0.861,0.1065,23.289,0.0,HVAC
2021-01-06,2021-01-06 01:00:00,24.683,229.841,49.943,0.879,0.1135,25.093,4.0,Lighting
2021-01-06,2021-01-06 02:00:00,26.498,230.228,50.522,0.881,0.1125,25.154,3.0,Refrigeration
2021-01-06,2021-01-06 03:00:00,26.853,225.442,49.653,0.87,0.11,26.863,0.0,Server Rack
2021-01-06,2021-01-06 04:00:00,27.185,219.044,58.113,0.836,0.1104,26.077,0.0,Server Rack
2021-01-06,2021-01-06 05:00:00,28.003,225.762,56.238,0.869,0.111,25.36,0.0,Production Line
2021-01-06,2021-01-06 06:00:00,27.274,235.442,55.734,0.842,0.1019,27.019,22.0,Server Rack
2021-01-06,2021-01-06 07:00:00,27.991,229.192,61.293,0.836,0.1126,23.041,40.0,Compressor
2021-01-06,2021-01-06 08:00:00,31.017,229.91,55.436,0.923,0.1109,23.865,59.0,Lighting
2021-01-06,2021-01-06 09:00:00,26.59,232.071,57.591,0.814,0.1196,23.434,70.0,HVAC
2021-01-06,2021-01-06 10:00:00,27.285,224.22,48.611,0.872,0.0994,24.24,78.0,HVAC
2021-01-06,2021-01-06 11:00:00,25.355,229.006,47.535,0.892,0.1165,22.759,85.0,Production Line
2021-01-06,2021-01-06 12:00:00,24.226,230.305,47.996,0.898,0.1154,25.777,91.0,Production Line
2021-01-06,2021-01-06 13:00:00,22.056,223.804,46.234,0.877,0.1134,24.491,98.0,Server Rack
2021-01-06,2021-01-06 14:00:00,20.384,229.637,44.948,0.868,0.1032,22.618,80.0,Server Rack
2021-01-06,2021-01-06 15:00:00,17.633,233.829,45.549,0.904,0.1087,23.301,71.0,Lighting
2021-01-06,2021-01-06 16:00:00,18.567,226.197,52.65,0.871,0.1078,25.295,60.0,Lighting
2021-01-06,2021-01-06 17:00:00,16.421,220.249,35.109,0.905,0.1546,26.081,48.0,Production Line
2021-01-06,2021-01-06 18:00:00,16.354,228.777,38.04,0.907,0.1487,27.819,23.0,Compressor
2021-01-06,2021-01-06 19:00:00,16.832,225.046,41.553,0.864,0.157,29.195,0.0,Server Rack
2021-01-06,2021-01-06 20:00:00,14.872,228.815,47.318,0.908,0.1504,25.446,0.0,Lighting
2021-01-06,2021-01-06 21:00:00,16.72,224.21,41.616,0.831,0.151,23.34,0.0,HVAC
2021-01-06,2021-01-06 22:00:00,17.408,228.274,43.928,0.895,0.1427,21.626,0.0,Production Line
2021-01-06,2021-01-06 23:00:00,19.874,233.523,44.611,0.813,0.1174,25.226,2.0,HVAC
2021-01-07,2021-01-07 00:00:00,21.478,227.875,49.689,0.903,0.1096,23.742,4.0,HVAC
2021-01-07,2021-01-07 01:00:00,22.829,220.579,49.97,0.942,0.1111,24.338,3.0,Lighting
2021-01-07,2021-01-07 02:00:00,26.491,229.691,54.608,0.876,0.1032,24.043,3.0,HVAC
2021-01-07,2021-01-07 03:00:00,26.518,228.09,57.569,0.878,0.1127,24.75,0.0,Compressor
2021-01-07,2021-01-07 04:00:00,25.131,228.96,53.702,0.921,0.1175,26.56,6.0,Elevator
2021-01-07,2021-01-07 05:00:00,27.552,232.379,58.776,0.867,0.1018,25.197,0.0,Server Rack
2021-01-07,2021-01-07 06:00:00,26.244,225.637,53.587,0.795,0.1127,24.723,16.0,Lighting
2021-01-07,2021-01-07 07:00:00,28.938,226.704,56.424,0.878,0.111,23.408,36.0,Server Rack
2021-01-07,2021-01-07 08:00:00,27.176,223.368,52.766,0.843,0.1101,22.449,50.0,HVAC
2021-01-07,2021-01-07 09:00:00,27.149,228.87,48.332,0.866,0.1025,24.232,79.0,Refrigeration
2021-01-07,2021-01-07 10:00:00,27.358,228.752,54.934,0.838,0.1121,24.88,84.0,Compressor
2021-01-07,2021-01-07 11:00:00,24.361,226.831,46.783,0.916,0.111,27.613,94.0,Lighting
2021-01-07,2021-01-07 12:00:00,25.075,231.362,45.622,0.885,0.1106,25.156,99.0,Production Line
2021-01-07,2021-01-07 13:00:00,22.305,223.335,44.768,0.859,0.1074,26.435,90.0,Lighting
2021-01-07,2021-01-07 14:00:00,20.024,228.571,50.074,0.888,0.1078,24.212,89.0,Lighting
2021-01-07,2021-01-07 15:00:00,18.777,230.705,47.536,0.868,0.116,23.184,63.0,HVAC
2021-01-07,2021-01-07 16:00:00,16.979,225.561,35.689,0.917,0.115,23.513,56.0,Lighting
2021-01-07,2021-01-07 17:00:00,15.815,221.819,36.308,0.885,0.1549,23.873,35.0,Production Line
2021-01-07,2021-01-07 18:00:00,16.456,220.371,46.003,0.914,0.1389,28.154,21.0,Pumps
2021-01-07,2021-01-07 19:00:00,17.849,228.699,47.266,0.853,0.1444,23.729,0.0,Compressor
2021-01-07,2021-01-07 20:00:00,17.127,235.623,42.603,0.877,0.1565,26.219,0.0,Server Rack
2021-01-07,2021-01-07 21:00:00,16.425,225.256,42.782,0.902,0.1473,23.607,2.0,Lighting
2021-01-07,2021-01-07 22:00:00,18.002,230.031,43.8,0.877,0.1501,26.358,0.0,Server Rack
2021-01-07,2021-01-07 23:00:00,18.213,217.086,45.227,0.802,0.1091,25.538,0.0,Server Rack
2021-01-08,2021-01-08 00:00:00,21.276,229.68,44.006,0.863,0.1133,24.863,0.0,Lighting
2021-01-08,2021-01-08 01:00:00,22.589,223.102,52.718,0.841,0.1145,25.036,4.0,Server Rack
2021-01-08,2021-01-08 02:00:00,23.804,226.23,48.984,0.907,0.1113,24.115,5.0,Refrigeration
2021-01-08,2021-01-08 03:00:00,26.528,228.355,55.747,0.891,0.1054,25.767,2.0,Refrigeration
2021-01-08,2021-01-08 04:00:00,26.436,220.526,55.038,0.9,0.1116,24.415,8.0,Refrigeration
2021-01-08,2021-01-08 05:00:00,27.752,242.155,59.231,0.845,0.0978,23.259,0.0,Production Line
2021-01-08,2021-01-08 06:00:00,28.711,225.276,53.806,0.844,0.1105,23.181,25.0,Server Rack
2021-01-08,2021-01-08 07:00:00,28.63,230.732,51.643,0.831,0.1088,25.356,39.0,Refrigeration
2021-01-08,2021-01-08 08:00:00,28.962,234.717,51.691,0.861,0.1027,27.466,61.0,HVAC
2021-01-08,2021-01-08 09:00:00,27.877,229.319,53.588,0.867,0.1077,25.337,74.0,Production Line
2021-01-08,2021-01-08 10:00:00,28.124,222.475,51.503,0.899,0.1016,24.92,89.0,Lighting
2021-01-08,2021-01-08 11:00:00,26.733,228.462,45.967,0.862,0.1085,25.526,86.0,Pumps
2021-01-08,2021-01-08 12:00:00,23.67,219.731,46.294,0.841,0.0994,27.056,96.0,Production Line
2021-01-08,2021-01-08 13:00:00,24.368,226.511,46.181,0.899,0.1086,25.427,97.0,HVAC
2021-01-08,2021-01-08 14:00:00,20.814,235.546,46.262,0.841,0.1059,24.481,85.0,Server Rack
2021-01-08,2021-01-08 15:00:00,19.728,221.65,42.27,0.905,0.1044,26.757,83.0,Production Line
2021-01-08,2021-01-08 16:00:00,18.636,224.291,43.317,0.949,0.1104,25.741,54.0,HVAC
2021-01-08,2021-01-08 17:00:00,18.367,236.341,40.408,0.856,0.1417,27.401,30.0,Elevator
2021-01-08,2021-01-08 18:00:00,16.885,227.216,40.154,0.793,0.156,25.372,14.0,Refrigeration
2021-01-08,2021-01-08 19:00:00,16.088,223.978,41.874,0.876,0.1592,23.261,0.0,Compressor
2021-01-08,2021-01-08 20:00:00,16.066,229.751,37.257,0.882,0.1496,23.045,0.0,HVAC
2021-01-08,2021-01-08 21:00:00,16.036,225.89,48.381,0.869,0.1424,27.574,0.0,HVAC
2021-01-08,2021-01-08 22:00:00,20.241,215.778,44.248,0.898,0.1458,27.683,0.0,Production Line
2021-01-08,2021-01-08 23:00:00,21.031,221.878,45.648,0.869,0.1024,24.828,0.0,Compressor
2021-01-09,2021-01-09 00:00:00,20.635,237.256,48.797,0.84,0.1152,24.659,2.0,Compressor
2021-01-09,2021-01-09 01:00:00,23.499,229.477,53.716,0.843,0.0984,27.426,0.0,Refrigeration
2021-01-09,2021-01-09 02:00:00,23.342,234.587,53.331,0.857,0.1087,23.573,0.0,Lighting
2021-01-09,2021-01-09 03:00:00,26.572,223.369,55.696,0.862,0.1128,23.892,4.0,Lighting
2021-01-09,2021-01-09 04:00:00,28.025,227.752,55.213,0.856,0.1,26.199,0.0,Compressor
2021-01-09,2021-01-09 05:00:00,28.498,227.24,52.268,0.868,0.1131,24.642,0.0,Lighting
2021-01-09,2021-01-09 06:00:00,28.673,225.537,47.694,0.836,0.1039,25.226,10.0,Refrigeration
2021-01-09,2021-01-09 07:00:00,27.99,228.946,58.382,0.924,0.1136,24.988,19.0,Compressor
2021-01-09,2021-01-09 08:00:00,28.833,222.984,58.157,0.856,0.1084,25.74,27.0,Lighting
2021-01-09,2021-01-09 09:00:00,26.972,233.443,49.823,0.839,0.1193,27.345,30.0,HVAC
2021-01-09,2021-01-09 10:00:00,22.707,230.103,47.786,0.878,0.1134,25.37,45.0,HVAC
2021-01-09,2021-01-09 11:00:00,23.144,227.217,46.324,0.854,0.1045,26.2,51.0,Elevator
2021-01-09,2021-01-09 12:00:00,21.341,228.6,45.948,0.859,0.1143,22.158,54.0,Server Rack
2021-01-09,2021-01-09 13:00:00,21.249,226.639,42.875,0.877,0.1054,25.161,46.0,HVAC
2021-01-09,2021-01-09 14:00:00,20.569,220.244,44.244,0.874,0.1083,23.969,50.0,Lighting
2021-01-09,2021-01-09 15:00:00,17.651,223.542,42.693,0.833,0.1099,23.405,45.0,Pumps
2021-01-09,2021-01-09 16:00:00,17.246,227.19,41.036,0.89,0.1098,23.916,37.0,Compressor
2021-01-09,2021-01-09 17:00:00,15.581,226.412,38.387,0.866,0.151,24.732,24.0,Pumps
2021-01-09,2021-01-09 18:00:00,17.161,230.914,36.869,0.853,0.1533,26.607,12.0,HVAC
2021-01-09,2021-01-09 19:00:00,15.395,230.522,35.307,0.916,0.146,23.244,7.0,Lighting
2021-01-09,2021-01-09 20:00:00,14.306,225.481,38.992,0.886,0.1474,25.28,4.0,Refrigeration
2021-01-09,2021-01-09 21:00:00,16.575,223.694,44.115,0.838,0.1534,24.507,0.0,Server Rack
2021-01-09,2021-01-09 22:00:00,17.854,231.397,38.553,0.853,0.1471,24.742,0.0,Server Rack
2021-01-09,2021-01-09 23:00:00,19.578,228.852,45.446,0.855,0.1019,26.738,0.0,Server Rack
2021-01-10,2021-01-10 00:00:00,20.529,225.203,44.352,0.897,0.1184,26.177,0.0,Lighting
2021-01-10,2021-01-10 01:00:00,23.781,222.861,45.645,0.849,0.1098,27.376,0.0,Lighting
2021-01-10,2021-01-10 02:00:00,25.825,224.959,54.832,0.852,0.1102,25.138,0.0,Elevator
2021-01-10,2021-01-10 03:00:00,24.845,229.764,57.343,0.838,0.1003,24.326,0.0,Lighting
2021-01-10,2021-01-10 04:00:00,25.513,235.591,56.274,0.893,0.1074,25.034,0.0,Compressor
2021-01-10,2021-01-10 05:00:00,26.87,227.046,51.671,0.862,0.1122,25.733,0.0,Production Line
2021-01-10,2021-01-10 06:00:00,28.418,224.252,58.427,0.839,0.1076,25.634,5.0,Refrigeration
2021-01-10,2021-01-10 07:00:00,26.351,237.707,57.858,0.811,0.1168,23.743,19.0,HVAC
2021-01-10,2021-01-10 08:00:00,28.912,226.326,61.081,0.861,0.1055,25.505,30.0,Server Rack
2021-01-10,2021-01-10 09:00:00,26.115,224.427,51.71,0.846,0.1229,25.712,39.0,Pumps
2021-01-10,2021-01-10 10:00:00,25.268,226.167,52.966,0.859,0.1183,29.146,41.0,HVAC
2021-01-10,2021-01-10 11:00:00,25.042,225.943,46.987,0.904,0.1004,28.185,52.0,HVAC
2021-01-10,2021-01-10 12:00:00,20.183,233.717,41.688,0.915,0.1128,24.09,43.0,Production Line
2021-01-10,2021-01-10 13:00:00,22.313,220.468,39.835,0.841,0.1106,24.938,45.0,HVAC
2021-01-10,2021-01-10 14:00:00,22.507,230.675,43.959,0.84,0.1126,23.174,51.0,HVAC
2021-01-10,2021-01-10 15:00:00,20.261,227.951,39.745,0.87,0.1145,24.483,35.0,Elevator
2021-01-10,2021-01-10 16:00:00,17.92,225.495,42.516,0.889,0.1108,25.843,24.0,Pumps
2021-01-10,2021-01-10 17:00:00,17.296,226.488,42.121,0.895,0.1535,27.178,21.0,Compressor
2021-01-10,2021-01-10 18:00:00,15.398,226.872,39.841,0.919,0.1541,24.276,12.0,Lighting
2021-01-10,2021-01-10 19:00:00,15.336,228.396,35.101,0.874,0.1538,24.388,0.0,Refrigeration
2021-01-10,2021-01-10 20:00:00,14.629,225.969,37.71,0.866,0.1403,22.148,3.0,HVAC
2021-01-10,2021-01-10 21:00:00,16.239,227.705,42.893,0.855,0.1419,25.125,0.0,Production Line
2021-01-10,2021-01-10 22:00:00,17.111,224.502,44.872,0.844,0.1501,23.776,0.0,Refrigeration
2021-01-10,2021-01-10 23:00:00,20.363,237.819,46.847,0.883,0.1083,24.575,5.0,Server Rack
2021-01-11,2021-01-11 00:00:00,21.533,232.542,50.571,0.933,0.1131,24.19,0.0,HVAC
2021-01-11,2021-01-11 01:00:00,22.962,230.199,49.097,0.872,0.0984,25.363,0.0,Compressor
2021-01-11,2021-01-11 02:00:00,24.954,226.003,52.469,0.931,0.1027,22.868,9.0,Lighting
2021-01-11,2021-01-11 03:00:00,26.385,231.697,55.241,0.908,0.1045,23.304,1.0,HVAC
2021-01-11,2021-01-11 04:00:00,28.413,229.347,57.824,0.804,0.1094,28.699,0.0,Compressor
2021-01-11,2021-01-11 05:00:00,25.957,228.536,55.483,0.89,0.1046,23.574,5.0,HVAC
2021-01-11,2021-01-11 06:00:00,28.519,225.601,55.644,0.81,0.1004,23.86,15.0,HVAC
2021-01-11,2021-01-11 07:00:00,30.29,229.236,56.512,0.892,0.0984,28.26,34.0,Lighting
2021-01-11,2021-01-11 08:00:00,30.195,235.576,54.877,0.854,0.1034,29.862,60.0,Production Line
2021-01-11,2021-01-11 09:00:00,30.699,228.363,52.584,0.872,0.1125,23.747,65.0,HVAC
2021-01-11,2021-01-11 10:00:00,27.14,226.813,49.768,0.846,0.1081,24.952,89.0,Production Line
2021-01-11,2021-01-11 11:00:00,27.183,228.447,44.373,0.887,0.1058,26.017,90.0,Pumps
2021-01-11,2021-01-11 12:00:00,22.373,228.197,49.51,0.936,0.1059,28.098,97.0,Lighting
2021-01-11,2021-01-11 13:00:00,22.925,225.538,47.215,0.944,0.1131,24.025,95.0,Refrigeration
2021-01-11,2021-01-11 14:00:00,21.011,224.665,44.644,0.845,0.1022,25.137,93.0,HVAC
2021-01-11,2021-01-11 15:00:00,21.222,231.57,43.455,0.868,0.1121,26.671,72.0,HVAC
